,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Stadium,Theater,Worship,Hospitals
76,"Capitol Hill, Lincoln Park",drive,50,10.468750000000002,112.86841801778856,0.031217035864978905,0.018459915611814346,0.05577531645569621,0.07542194092827005,0.0603243670886076,0.3959651898734178,0.29311708860759494,0.0023404535864978903,0.006625791139240508,0.04364451476793249,0.017108386075949368
77,"Capitol Hill, Lincoln Park",drive,60,12.5625,70.13182627406093,0.03173264114211551,0.02011680726800779,0.05801427644386763,0.0746917585983128,0.06297858533419858,0.3898767034393252,0.28900064892926675,0.0033419857235561326,0.006846203763789747,0.044711226476314085,0.018689162881245946
78,"Capitol Hill, Lincoln Park",bicycle,10,0.2602739726027397,80.61478187058499,0.029934043632673768,0.016235413495687467,0.0319634703196347,0.1461187214611872,0.0426179604261796,0.42212075088787415,0.2161339421613394,0.0076103500761035,0.008117706747843734,0.0730593607305936,0.0060882800608828
79,"Capitol Hill, Lincoln Park",bicycle,20,0.2602739726027397,249.16552570045855,0.03562048588312541,0.014773473407747865,0.037918581746552854,0.12967826657912015,0.04038082731451083,0.4189100459619173,0.23588312541037426,0.004924491135915955,0.009028233749179252,0.06795797767564019,0.004924491135915955
80,"Capitol Hill, Lincoln Park",bicycle,30,0.2602739726027397,497.75844513699604,0.03722267871815941,0.015283483976992607,0.042892358258011506,0.11010682004930157,0.044864420706655715,0.40476581758422353,0.2590797041906327,0.002875924404272802,0.00788824979457683,0.06589975349219393,0.00912078882497946
81,"Capitol Hill, Lincoln Park",bicycle,40,0.2602739726027397,699.8475558536682,0.03582490795394775,0.013909181228449533,0.04470808252001636,0.0986499912337093,0.043831453450996434,0.4168079013500087,0.26754719186488224,0.0022207936415171528,0.006662380924551457,0.061597802583133646,0.008240313248787328
82,"Capitol Hill, Lincoln Park",bicycle,50,0.5102739726027397,809.2038329868777,0.03317287069253134,0.01410800247843287,0.04747152185310519,0.09170201610981364,0.04589867022544207,0.4191411276869549,0.2756779943758639,0.0020494733330155856,0.0064820551927934796,0.05614603689052,0.008150231161527096
83,"Capitol Hill, Lincoln Park",bicycle,60,1.0102739726027397,859.10620301937,0.031377245508982035,0.015249500998003995,0.04670658682634731,0.08758483033932137,0.04826347305389222,0.41780439121756496,0.2852694610778444,0.002155688622754491,0.006467065868263474,0.049660678642714576,0.00946107784431138
84,"Capitol Hill, Lincoln Park",walk,10,0.0,8.130434782608695,0.03743315508021391,0.0106951871657754,0.0481283422459893,0.2887700534759358,0.03208556149732621,0.1925133689839572,0.2245989304812834,,0.0106951871657754,0.13903743315508021,0.016042780748663103
85,"Capitol Hill, Lincoln Park",walk,20,0.0,32.52173913043478,0.03342245989304813,0.0106951871657754,0.03208556149732621,0.17647058823529413,0.028074866310160426,0.36363636363636365,0.20855614973262032,0.0106951871657754,0.008021390374331552,0.1122994652406417,0.016042780748663103
86,"Capitol Hill, Lincoln Park",walk,30,0.0,59.86956521739131,0.03050108932461873,0.011619462599854755,0.03050108932461873,0.16122004357298472,0.026143790849673196,0.39506172839506165,0.23093681917211326,0.008714596949891067,0.009440813362381988,0.08714596949891067,0.008714596949891067
87,"Capitol Hill, Lincoln Park",walk,40,0.0,94.5217391304348,0.031278748850045994,0.018399264029438818,0.03863845446182152,0.14903403863845444,0.03863845446182152,0.4167433302667893,0.21527138914443417,0.00873965041398344,0.006899724011039558,0.07083716651333945,0.005519779208831646
88,"Capitol Hill, Lincoln Park",walk,50,0.0,133.69565217391306,0.033495934959349584,0.014308943089430893,0.03804878048780487,0.1378861788617886,0.03902439024390243,0.4104065040650406,0.23804878048780484,0.006829268292682926,0.006829268292682926,0.06829268292682926,0.006829268292682926
89,"Capitol Hill, Lincoln Park",walk,60,0.0,185.47826086956516,0.036099390529770285,0.01640881387716831,0.03938115330520395,0.13314580403188,0.04078762306610409,0.4280356305672762,0.22081575246132212,0.0058602906704172545,0.008673230192217538,0.06516643225503987,0.005625879043600564
90,"Capitol Hill, Lincoln Park",transit,10,2.0,5.246370791372756,0.031088082901554407,0.010362694300518135,0.07772020725388602,0.300518134715026,0.031088082901554407,0.16580310880829016,0.23316062176165805,,0.010362694300518135,0.12435233160621763,0.015544041450777204
91,"Capitol Hill, Lincoln Park",transit,20,2.0,27.94439986285593,0.04085603112840466,0.007782101167315174,0.026264591439688713,0.17120622568093385,0.037937743190661476,0.37354085603112835,0.22762645914396884,0.007782101167315174,0.00875486381322957,0.08365758754863813,0.014591439688715952
92,"Capitol Hill, Lincoln Park",transit,30,2.0,122.37907410756556,0.05264326965792981,0.01776988005330964,0.021323856063971566,0.11017325633051976,0.05530875166592625,0.4744557974233673,0.19391381608174144,0.003776099511328298,0.011106175033318524,0.052865393158596174,0.0066637050199911145
93,"Capitol Hill, Lincoln Park",transit,40,2.0,296.46072461508436,0.04373739226114066,0.01668806161745828,0.04043645699614891,0.09829451677975427,0.05006418485237484,0.46506510177883736,0.21098477902072255,0.0024757014487438106,0.008435723454978911,0.05721621125985696,0.006601870529983495
94,"Capitol Hill, Lincoln Park",transit,50,2.0,416.12147188774173,0.0397831199372877,0.014894172981447611,0.04389861510321401,0.09576691925790438,0.04487849490462504,0.44878494904625044,0.2400705513457016,0.0021557355631042596,0.007381761170629737,0.055134570159393784,0.0072511105304416
95,"Capitol Hill, Lincoln Park",transit,60,2.0,548.5039887477694,0.03548419070274556,0.014272970561998213,0.04653583110318168,0.08722370898998909,0.04802259887005649,0.4352264842898206,0.2630092179601546,0.001982357022499752,0.006888690653186639,0.0503518683714937,0.011002081474873625
96,"Capitol View, Marshall Heights, Benning Heights",drive,10,2.09375,3.3675291109893966,,,0.06521739130434782,0.11801242236024846,0.018633540372670808,0.25465838509316774,0.391304347826087,,0.0031055900621118015,0.14906832298136646,
97,"Capitol View, Marshall Heights, Benning Heights",drive,20,4.1875,3.202338330725067,0.003927729772191674,0.004713275726630008,0.06834249803613512,0.12411626080125687,0.032992930086410056,0.21209740769835037,0.41476826394344074,0.004713275726630008,0.002356637863315004,0.13197172034564023,
98,"Capitol View, Marshall Heights, Benning Heights",drive,30,6.28125,2.134163031968423,0.010206974766090162,0.01190813722710519,0.06634533597958606,0.11057555996597676,0.04082789906436065,0.2869294017578679,0.3691522540402609,0.006237595690388433,0.0034023249220300543,0.08846044797278141,0.005954068613552595
99,"Capitol View, Marshall Heights, Benning Heights",drive,40,8.375,3.2008858232699042,0.03283012004365224,0.01673335758457621,0.05047289923608585,0.08239359767188069,0.05101855220080029,0.4176064023281193,0.27691887959257916,0.0019097853765005456,0.0066387777373590395,0.053383048381229536,0.01009457984721717
100,"Capitol View, Marshall Heights, Benning Heights",drive,50,10.468750000000002,1.0319468436589039,0.031517166508345774,0.017845026462206544,0.05587596688831592,0.07721536165015606,0.06045596417424346,0.3953725064459221,0.2920002714072466,0.002239109784231239,0.006547699823585289,0.044850047496268156,0.0160808793594789
101,"Capitol View, Marshall Heights, Benning Heights",drive,60,12.5625,0.2594897337654357,0.03173882001687545,0.020120724346076462,0.05802557279158825,0.0747063023301097,0.06299084831570066,0.38995261893944316,0.28905692217823076,0.0032777309015382624,0.006847536833906666,0.04459012137340171,0.0186928019731291
