time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
20,10,10,30,0.257297956,0.742702044
20,10,10,40,0.174225696,0.825774304
20,10,10,50,0.156544492,0.843455508
20,10,10,60,0.145329009,0.854670991
20,10,20,10,0.322195267,0.677804733
20,10,20,20,0.308857859,0.691142141
20,10,20,30,0.258158432,0.741841568
20,10,20,40,0.181483903,0.818516097
20,10,20,50,0.161679453,0.838320547
20,10,20,60,0.149639564,0.850360436
20,10,30,10,0.257297956,0.742702044
20,10,30,20,0.258158432,0.741841568
20,10,30,30,0.228373559,0.771626441
20,10,30,40,0.171130962,0.828869038
20,10,30,50,0.154377463,0.845622537
20,10,30,60,0.143829705,0.856170295
20,10,40,10,0.174225696,0.825774304
20,10,40,20,0.181483903,0.818516097
20,10,40,30,0.171130962,0.828869038
20,10,40,40,0.149895288,0.850104712
20,10,40,50,0.143713985,0.856286015
20,10,40,60,0.13786699,0.86213301
20,10,50,10,0.156544492,0.843455508
20,10,50,20,0.161679453,0.838320547
20,10,50,30,0.154377463,0.845622537
20,10,50,40,0.143713985,0.856286015
20,10,50,50,0.140177072,0.859822928
20,10,50,60,0.135632549,0.864367451
20,10,60,10,0.145329009,0.854670991
20,10,60,20,0.149639564,0.850360436
20,10,60,30,0.143829705,0.856170295
20,10,60,40,0.13786699,0.86213301
20,10,60,50,0.135632549,0.864367451
20,10,60,60,0.132255137,0.867744863
20,20,10,10,0.322195267,0.677804733
20,20,10,20,0.308857859,0.691142141
20,20,10,30,0.258158432,0.741841568
20,20,10,40,0.181483903,0.818516097
20,20,10,50,0.161679453,0.838320547
20,20,10,60,0.149639564,0.850360436
20,20,20,10,0.308857859,0.691142141
20,20,20,20,0.300586408,0.699413592
20,20,20,30,0.258957434,0.741042566
20,20,20,40,0.188063285,0.811936715
20,20,20,50,0.167459629,0.832540371
20,20,20,60,0.154918545,0.845081455
20,20,30,10,0.258158432,0.741841568
20,20,30,20,0.258957434,0.741042566
20,20,30,30,0.232414995,0.767585005
20,20,30,40,0.177968831,0.822031169
20,20,30,50,0.160514607,0.839485393
20,20,30,60,0.14932847,0.85067153
20,20,40,10,0.181483903,0.818516097
20,20,40,20,0.188063285,0.811936715
20,20,40,30,0.177968831,0.822031169
20,20,40,40,0.154040153,0.845959847
20,20,40,50,0.146500982,0.853499018
20,20,40,60,0.140208612,0.859791388
20,20,50,10,0.161679453,0.838320547
20,20,50,20,0.167459629,0.832540371
20,20,50,30,0.160514607,0.839485393
20,20,50,40,0.146500982,0.853499018
20,20,50,50,0.141990148,0.858009852
20,20,50,60,0.137119378,0.862880622
20,20,60,10,0.149639564,0.850360436
20,20,60,20,0.154918545,0.845081455
20,20,60,30,0.14932847,0.85067153
20,20,60,40,0.140208612,0.859791388
20,20,60,50,0.137119378,0.862880622
20,20,60,60,0.13347324,0.86652676
20,30,10,10,0.257297956,0.742702044
20,30,10,20,0.258158432,0.741841568
20,30,10,30,0.228373559,0.771626441
20,30,10,40,0.171130962,0.828869038
20,30,10,50,0.154377463,0.845622537
20,30,10,60,0.143829705,0.856170295
20,30,20,10,0.258158432,0.741841568
20,30,20,20,0.258957434,0.741042566
20,30,20,30,0.232414995,0.767585005
20,30,20,40,0.177968831,0.822031169
20,30,20,50,0.160514607,0.839485393
20,30,20,60,0.14932847,0.85067153
20,30,30,10,0.228373559,0.771626441
20,30,30,20,0.232414995,0.767585005
20,30,30,30,0.214319457,0.785680543
20,30,30,40,0.170629599,0.829370401
20,30,30,50,0.15554798,0.84445202
20,30,30,60,0.145589916,0.854410084
20,30,40,10,0.171130962,0.828869038
20,30,40,20,0.177968831,0.822031169
20,30,40,30,0.170629599,0.829370401
20,30,40,40,0.149735566,0.850264434
20,30,40,50,0.14265503,0.85734497
20,30,40,60,0.136898375,0.863101625
20,30,50,10,0.154377463,0.845622537
20,30,50,20,0.160514607,0.839485393
20,30,50,30,0.15554798,0.84445202
20,30,50,40,0.14265503,0.85734497
20,30,50,50,0.138471571,0.861528429
20,30,50,60,0.134087371,0.865912629
20,30,60,10,0.143829705,0.856170295
20,30,60,20,0.14932847,0.85067153
20,30,60,30,0.145589916,0.854410084
20,30,60,40,0.136898375,0.863101625
20,30,60,50,0.134087371,0.865912629
20,30,60,60,0.130694362,0.869305638
20,40,10,10,0.174225696,0.825774304
20,40,10,20,0.181483903,0.818516097
20,40,10,30,0.171130962,0.828869038
20,40,10,40,0.149895288,0.850104712
20,40,10,50,0.143713985,0.856286015
20,40,10,60,0.13786699,0.86213301
20,40,20,10,0.181483903,0.818516097
20,40,20,20,0.188063285,0.811936715
20,40,20,30,0.177968831,0.822031169
20,40,20,40,0.154040153,0.845959847
20,40,20,50,0.146500982,0.853499018
20,40,20,60,0.140208612,0.859791388
20,40,30,10,0.171130962,0.828869038
20,40,30,20,0.177968831,0.822031169
20,40,30,30,0.170629599,0.829370401
20,40,30,40,0.149735566,0.850264434
20,40,30,50,0.14265503,0.85734497
20,40,30,60,0.136898375,0.863101625
20,40,40,10,0.149895288,0.850104712
20,40,40,20,0.154040153,0.845959847
20,40,40,30,0.149735566,0.850264434
20,40,40,40,0.14223717,0.85776283
20,40,40,50,0.139298053,0.860701947
20,40,40,60,0.135432012,0.864567988
20,40,50,10,0.143713985,0.856286015
20,40,50,20,0.146500982,0.853499018
20,40,50,30,0.14265503,0.85734497
20,40,50,40,0.139298053,0.860701947
20,40,50,50,0.137397395,0.862602605
20,40,50,60,0.134239942,0.865760058
20,40,60,10,0.13786699,0.86213301
20,40,60,20,0.140208612,0.859791388
