,Community,Mode,Time Range,Cost,MI
400,Bellerose,walk,50,0.0,2121.0
401,Bellerose,walk,60,0.0,2121.0
402,Bellerose,transit,10,2.9,602.5375213421288
403,Bellerose,transit,20,2.9,602.5375213421288
404,Bellerose,transit,30,2.9,602.5375213421288
405,Bellerose,transit,40,2.9,602.5375213421288
406,Bellerose,transit,50,2.9,602.5375213421288
407,Bellerose,transit,60,2.9,602.5375213421288
408,Belmont,drive,10,2.046875,141106.96084302108
409,Belmont,drive,20,4.09375,128154.10022819147
410,Belmont,drive,30,6.140625,116390.24260162588
411,Belmont,drive,40,8.1875,105706.24387939257
412,Belmont,drive,50,10.234375000000002,96002.97881786124
413,Belmont,drive,60,12.28125,87190.42133801035
414,Belmont,bicycle,10,0.5616438356164384,54779.45813198481
415,Belmont,bicycle,20,0.5616438356164384,54779.45813198481
416,Belmont,bicycle,30,0.5616438356164384,54779.45813198481
417,Belmont,bicycle,40,0.5616438356164384,54779.45813198481
418,Belmont,bicycle,50,0.8116438356164384,54139.0265356989
419,Belmont,bicycle,60,1.3116438356164384,52880.53783894897
420,Belmont,walk,10,0.0,7665.999999999999
421,Belmont,walk,20,0.0,7665.999999999999
422,Belmont,walk,30,0.0,7665.999999999999
423,Belmont,walk,40,0.0,7665.999999999999
424,Belmont,walk,50,0.0,7665.999999999999
425,Belmont,walk,60,0.0,7665.999999999999
426,Belmont,transit,10,2.9,22877.296081215256
427,Belmont,transit,20,2.9,22877.296081215256
428,Belmont,transit,30,2.9,22877.296081215256
429,Belmont,transit,40,2.9,22877.296081215256
430,Belmont,transit,50,2.9,22877.296081215256
431,Belmont,transit,60,2.9,22877.296081215256
432,Bensonhurst,drive,10,2.046875,104836.23848759185
433,Bensonhurst,drive,20,4.09375,74317.80278339025
434,Bensonhurst,drive,30,6.140625,52683.460320875514
435,Bensonhurst,drive,40,8.1875,37347.000145725375
436,Bensonhurst,drive,50,10.234375000000002,26475.07227865459
437,Bensonhurst,drive,60,12.28125,18768.025528824473
438,Bensonhurst,bicycle,10,0.5616438356164384,56411.1010819637
439,Bensonhurst,bicycle,20,0.5616438356164384,56411.1010819637
440,Bensonhurst,bicycle,30,0.5616438356164384,56411.1010819637
441,Bensonhurst,bicycle,40,0.5616438356164384,56411.1010819637
442,Bensonhurst,bicycle,50,0.8116438356164384,54089.75079573797
443,Bensonhurst,bicycle,60,1.3116438356164384,49729.69414083345
444,Bensonhurst,walk,10,0.0,9032.0
445,Bensonhurst,walk,20,0.0,9032.0
446,Bensonhurst,walk,30,0.0,9032.0
447,Bensonhurst,walk,40,0.0,9032.0
448,Bensonhurst,walk,50,0.0,9032.0
449,Bensonhurst,walk,60,0.0,9032.0
450,Bensonhurst,transit,10,2.9,28481.960287927992
451,Bensonhurst,transit,20,2.9,28481.960287927992
452,Bensonhurst,transit,30,2.9,28481.960287927992
453,Bensonhurst,transit,40,2.9,28481.960287927992
454,Bensonhurst,transit,50,2.9,28481.960287927992
455,Bensonhurst,transit,60,2.9,28481.960287927992
456,Bergen Beach,drive,10,2.046875,61084.4112529238
457,Bergen Beach,drive,20,4.09375,31734.453415289503
458,Bergen Beach,drive,30,6.140625,16486.62093831634
459,Bergen Beach,drive,40,8.1875,8565.096943903074
460,Bergen Beach,drive,50,10.234375000000002,4449.722349590794
461,Bergen Beach,drive,60,12.28125,2311.711019516501
462,Bergen Beach,bicycle,10,0.5616438356164384,44542.24359989941
463,Bergen Beach,bicycle,20,0.5616438356164384,44542.24359989941
464,Bergen Beach,bicycle,30,0.5616438356164384,44542.24359989941
465,Bergen Beach,bicycle,40,0.5616438356164384,44542.24359989941
466,Bergen Beach,bicycle,50,0.8116438356164384,41118.4076495263
467,Bergen Beach,bicycle,60,1.3116438356164384,35040.04748552545
468,Bergen Beach,walk,10,0.0,2167.0
469,Bergen Beach,walk,20,0.0,2167.0
470,Bergen Beach,walk,30,0.0,2167.0
471,Bergen Beach,walk,40,0.0,2167.0
472,Bergen Beach,walk,50,0.0,2167.0
473,Bergen Beach,walk,60,0.0,2167.0
474,Bergen Beach,transit,10,2.9,514.8440450546021
475,Bergen Beach,transit,20,2.9,514.8440450546021
476,Bergen Beach,transit,30,2.9,514.8440450546021
477,Bergen Beach,transit,40,2.9,514.8440450546021
478,Bergen Beach,transit,50,2.9,514.8440450546021
479,Bergen Beach,transit,60,2.9,514.8440450546021
480,Boerum Hill,drive,10,2.046875,62618.49770591907
481,Boerum Hill,drive,20,4.09375,20761.04483549902
482,Boerum Hill,drive,30,6.140625,6883.285266373579
483,Boerum Hill,drive,40,8.1875,2282.1402503433665
484,Boerum Hill,drive,50,10.234375000000002,756.639296598726
485,Boerum Hill,drive,60,12.28125,250.86233200228523
486,Boerum Hill,bicycle,10,0.5616438356164384,90608.00165252572
487,Boerum Hill,bicycle,20,0.5616438356164384,90608.00165252572
488,Boerum Hill,bicycle,30,0.5616438356164384,90608.00165252572
489,Boerum Hill,bicycle,40,0.5616438356164384,90608.00165252572
490,Boerum Hill,bicycle,50,0.8116438356164384,79178.51526094988
491,Boerum Hill,bicycle,60,1.3116438356164384,60462.897652104024
492,Boerum Hill,walk,10,0.0,13491.0
493,Boerum Hill,walk,20,0.0,13491.0
494,Boerum Hill,walk,30,0.0,13491.0
495,Boerum Hill,walk,40,0.0,13491.0
496,Boerum Hill,walk,50,0.0,13491.0
497,Boerum Hill,walk,60,0.0,13491.0
498,Boerum Hill,transit,10,2.9,27286.903301893708
499,Boerum Hill,transit,20,2.9,27286.903301893708
500,Boerum Hill,transit,30,2.9,27286.903301893708
