Community,Mode,Time Range,Cost,MI
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,10,0.260273973,24404.48098
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,20,0.260273973,24404.48098
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,30,0.260273973,24404.48098
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,40,0.260273973,24404.48098
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,50,0.510273973,23786.42989
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",bicycle,60,1.010273973,22596.88832
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,10,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,20,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,30,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,40,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,50,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",walk,60,0,1384
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,10,2,4074.816026
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,20,2,4074.816026
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,30,2,4074.816026
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,40,2,4074.816026
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,50,2,4074.816026
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",transit,60,2,4074.816026
"Douglas, Shipley Terrace",drive,10,2.09375,34243.61295
"Douglas, Shipley Terrace",drive,20,4.1875,28481.8204
"Douglas, Shipley Terrace",drive,30,6.28125,23689.50072
"Douglas, Shipley Terrace",drive,40,8.375,19703.53145
"Douglas, Shipley Terrace",drive,50,10.46875,16388.23698
"Douglas, Shipley Terrace",drive,60,12.5625,13630.7703
"Douglas, Shipley Terrace",bicycle,10,0.260273973,25177.72291
"Douglas, Shipley Terrace",bicycle,20,0.260273973,25177.72291
"Douglas, Shipley Terrace",bicycle,30,0.260273973,25177.72291
"Douglas, Shipley Terrace",bicycle,40,0.260273973,25177.72291
"Douglas, Shipley Terrace",bicycle,50,0.510273973,24629.90846
"Douglas, Shipley Terrace",bicycle,60,1.010273973,23569.77808
"Douglas, Shipley Terrace",walk,10,0,1059
"Douglas, Shipley Terrace",walk,20,0,1059
"Douglas, Shipley Terrace",walk,30,0,1059
"Douglas, Shipley Terrace",walk,40,0,1059
"Douglas, Shipley Terrace",walk,50,0,1059
"Douglas, Shipley Terrace",walk,60,0,1059
"Douglas, Shipley Terrace",transit,10,2,13858.37317
"Douglas, Shipley Terrace",transit,20,2,13858.37317
"Douglas, Shipley Terrace",transit,30,2,13858.37317
"Douglas, Shipley Terrace",transit,40,2,13858.37317
"Douglas, Shipley Terrace",transit,50,2,13858.37317
"Douglas, Shipley Terrace",transit,60,2,13858.37317
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,10,2.09375,24553.12752
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,20,4.1875,11533.05921
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,30,6.28125,5417.291736
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,40,8.375,2544.602365
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,50,10.46875,1195.246908
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",drive,60,12.5625,561.4296326
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,10,0.260273973,41349.70465
