time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
20,50,30,30,0.133491047,0.866508953
20,50,30,40,0.143861101,0.856138899
20,50,30,50,0.147448525,0.852551475
20,50,30,60,0.147572711,0.852427289
20,50,40,10,0.11230979,0.88769021
20,50,40,20,0.121402251,0.878597749
20,50,40,30,0.135170492,0.864829508
20,50,40,40,0.144927658,0.855072342
20,50,40,50,0.147337308,0.852662692
20,50,40,60,0.147373511,0.852626489
20,50,50,10,0.118387684,0.881612316
20,50,50,20,0.127089991,0.872910009
20,50,50,30,0.140349691,0.859650309
20,50,50,40,0.148648438,0.851351562
20,50,50,50,0.150447674,0.849552326
20,50,50,60,0.150077058,0.849922942
20,50,60,10,0.122248343,0.877751657
20,50,60,20,0.130273299,0.869726701
20,50,60,30,0.142833245,0.857166755
20,50,60,40,0.150320309,0.849679691
20,50,60,50,0.151334011,0.848665989
20,50,60,60,0.150271563,0.849728437
20,60,10,10,0.124056945,0.875943055
20,60,10,20,0.13369546,0.86630454
20,60,10,30,0.147809727,0.852190273
20,60,10,40,0.159579307,0.840420693
20,60,10,50,0.164572289,0.835427711
20,60,10,60,0.16467475,0.83532525
20,60,20,10,0.125993,0.874007
20,60,20,20,0.135496235,0.864503765
20,60,20,30,0.149428862,0.850571138
20,60,20,40,0.16064608,0.83935392
20,60,20,50,0.165495293,0.834504707
20,60,20,60,0.16553427,0.83446573
20,60,30,10,0.127417328,0.872582672
20,60,30,20,0.13665832,0.86334168
20,60,30,30,0.149932331,0.850067669
20,60,30,40,0.160998034,0.839001966
20,60,30,50,0.1655625,0.8344375
20,60,30,60,0.165517222,0.834482778
20,60,40,10,0.125142585,0.874857415
20,60,40,20,0.134116939,0.865883061
20,60,40,30,0.147639136,0.852360864
20,60,40,40,0.158128972,0.841871028
20,60,40,50,0.162510282,0.837489718
20,60,40,60,0.162251417,0.837748583
20,60,50,10,0.127801508,0.872198492
20,60,50,20,0.136480908,0.863519092
20,60,50,30,0.148980857,0.851019143
20,60,50,40,0.158518041,0.841481959
20,60,50,50,0.16218254,0.83781746
20,60,50,60,0.16185023,0.83814977
20,60,60,10,0.129179745,0.870820255
20,60,60,20,0.137163562,0.862836438
20,60,60,30,0.149333589,0.850666411
20,60,60,40,0.15740545,0.84259455
20,60,60,50,0.159491277,0.840508723
20,60,60,60,0.159142076,0.840857924
30,10,10,10,0.355884558,0.644115442
30,10,10,20,0.387411525,0.612588475
30,10,10,30,0.399291156,0.600708844
30,10,10,40,0.368206668,0.631793332
30,10,10,50,0.342203754,0.657796246
30,10,10,60,0.318383617,0.681616383
30,10,20,10,0.34843401,0.65156599
30,10,20,20,0.376743349,0.623256651
30,10,20,30,0.39055675,0.60944325
30,10,20,40,0.362796497,0.637203503
30,10,20,50,0.338050886,0.661949114
30,10,20,60,0.315469318,0.684530682
30,10,30,10,0.338793402,0.661206598
30,10,30,20,0.363282407,0.636717593
30,10,30,30,0.378538927,0.621461073
30,10,30,40,0.352512503,0.647487497
30,10,30,50,0.330059206,0.669940794
30,10,30,60,0.309187836,0.690812164
30,10,40,10,0.316230718,0.683769282
30,10,40,20,0.335990865,0.664009135
