,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Hospitals,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Stadium,Theater
3090,Hunts Point,transit,10,2.9,0.3171757657813908,0.024390243902439025,,,0.24390243902439027,0.032520325203252036,,0.5365853658536586,0.14634146341463414,0.016260162601626018,,
3091,Hunts Point,transit,20,2.9,0.8200153944592055,0.018867924528301886,0.006289308176100629,,0.20754716981132076,0.050314465408805034,0.03773584905660377,0.5094339622641509,0.1320754716981132,0.031446540880503145,0.0031446540880503146,0.0031446540880503146
3092,Hunts Point,transit,30,2.9,3.687490610303974,0.017482517482517484,0.005594405594405595,0.004195804195804197,0.17412587412587413,0.04475524475524476,0.10699300699300701,0.4531468531468532,0.16363636363636364,0.026573426573426578,0.0006993006993006994,0.0027972027972027976
3093,Hunts Point,transit,40,2.9,16.815472915938617,0.02008894341358687,0.005827327097071001,0.012421407759546081,0.1407759546081889,0.038951081122527216,0.12007360834227877,0.3612942800184021,0.24934825946940653,0.04784542248121453,0.0004600521392424474,0.0029136635485355004
3094,Hunts Point,transit,50,2.9,46.74087748417472,0.03701864724704844,0.011033873993158997,0.01969546507778881,0.11916583912611717,0.030343153481187244,0.10857332009268454,0.37702747434624295,0.2492552135054618,0.03905991393578285,0.0010482180293501049,0.007778881165177093
3095,Hunts Point,transit,60,2.9,98.40184733510465,0.049109014675052416,0.012840670859538786,0.020125786163522015,0.11210691823899373,0.031027253668763105,0.10259433962264151,0.3895702306079665,0.23215408805031448,0.03338574423480084,0.0009433962264150943,0.016142557651991615
3096,Inwood,drive,10,2.046875,18.08234427835875,0.022988505747126436,0.007073386383731212,0.015915119363395226,0.14456233421750664,0.025641025641025644,0.11671087533156499,0.3987621573828471,0.21618037135278514,0.046861184792219276,0.0008841732979664015,0.004420866489832007
3097,Inwood,drive,20,4.09375,11.042451262955627,0.020098495940370026,0.00665513110608279,0.014375083189138826,0.146945294822308,0.04072940236922668,0.11539997337947558,0.3702914947424465,0.24357779848263011,0.03620391321709038,0.001464128843338214,0.004259283907892986
3098,Inwood,drive,30,6.140625,5.801141085036796,0.024642474495737643,0.008384962966413565,0.012996692597941024,0.12242045930963803,0.03503051194857222,0.10411329016630176,0.3954907532491731,0.25518237294451945,0.033633018120836626,0.0010714119345972889,0.007034052266269157
3099,Inwood,drive,40,8.1875,3.533801149536811,0.039621500780338284,0.01138872094821647,0.01640819425502299,0.11085021722930698,0.030651125514952967,0.09693066940370908,0.4212701938894591,0.23245644868748505,0.028907666999423532,0.0011669923934592185,0.010348269898626323
3100,Inwood,drive,50,10.234375000000002,1.0708287476830254,0.04048831674046017,0.013274298535220401,0.01660993524940496,0.11319837227753182,0.030592310120372983,0.09697233383666472,0.4178162243322329,0.22762521434238478,0.03340755338298399,0.00127112498826982,0.008744316194473594
3101,Inwood,drive,60,12.28125,0.2670635182420951,0.03674796543439705,0.014389756103696808,0.017528081407781032,0.115923070150061,0.030339241015836276,0.09843272411667778,0.40656092376196523,0.23650645903825107,0.034678809071584,0.001301870416724318,0.007591099483025371
3102,Inwood,bicycle,10,0.5616438356164384,49.883359176005925,0.021905805038335155,0.007667031763417305,0.013143483023001093,0.15772179627601313,0.027382256297918944,0.1166484118291347,0.3680175246440306,0.23658269441401966,0.04709748083242058,0.001095290251916758,0.0027382256297918944
3103,Inwood,bicycle,20,0.5616438356164384,211.00715568207545,0.017477990678404966,0.006214396685655099,0.01475919212843086,0.1573019161056447,0.04220611082340755,0.11846193682030033,0.3521491455204557,0.24546866908337645,0.0409114448472294,0.0015535991714137748,0.0034955981356809933
3104,Inwood,bicycle,30,0.5616438356164384,461.18886616064174,0.018303518540457295,0.005686530031986732,0.013327804762468904,0.1432294751806658,0.03802866958891127,0.11817320222722429,0.36429333017415,0.25464992299490585,0.039213363345575174,0.0012439284444970976,0.0038502547091576835
3105,Inwood,bicycle,40,0.5616438356164384,745.4639130311334,0.019898856640281442,0.0060832600410436815,0.013302550571679858,0.1293975373790677,0.03518029903254177,0.10927880386983288,0.38581061272354145,0.2584652594547054,0.03781882145998241,0.0010993843447669304,0.0036646144825564345
3106,Inwood,bicycle,50,0.8116438356164384,800.5830931231131,0.02491675915649279,0.008157602663706994,0.015316315205327417,0.11728634850166483,0.031409544950055504,0.10188679245283021,0.40038845726970046,0.26012763596004446,0.033740288568257504,0.0009988901220865706,0.005771365149833519
3107,Inwood,bicycle,60,1.3116438356164384,681.6434567239239,0.03389428774591135,0.009782585274407982,0.018423150681979788,0.10982783511818829,0.02809799823310134,0.09845073153914112,0.4108685815251352,0.24939128186343168,0.029175375465965655,0.001055829688207029,0.011032342864530587
3108,Inwood,walk,10,0.0,20.826086956521742,0.022964509394572022,0.012526096033402922,0.012526096033402922,0.1565762004175365,0.0208768267223382,0.10647181628392484,0.4634655532359081,0.16283924843423797,0.033402922755741124,0.0020876826722338203,0.006263048016701461
3109,Inwood,walk,20,0.0,32.56521739130435,0.026702269692923896,0.008010680907877168,0.012016021361815753,0.1522029372496662,0.029372496662216287,0.10413885180240319,0.4405874499332443,0.1842456608811749,0.03471295060080106,0.0026702269692923893,0.005340453938584779
3110,Inwood,walk,30,0.0,43.173913043478265,0.024169184290030208,0.008056394763343402,0.012084592145015104,0.15709969788519634,0.03222557905337361,0.10574018126888216,0.4169184290030211,0.1993957703927492,0.03625377643504531,0.0020140986908358505,0.006042296072507552
3111,Inwood,walk,40,0.0,83.04347826086956,0.02198952879581152,0.008376963350785341,0.01413612565445026,0.15078534031413612,0.03036649214659686,0.1162303664921466,0.3675392670157068,0.24031413612565444,0.0450261780104712,0.0010471204188481676,0.004188481675392671
3112,Inwood,walk,50,0.0,142.86956521739128,0.01886792452830189,0.008520998174071821,0.014607425441265979,0.1579427875836884,0.030432136335970788,0.1314668289713938,0.3511868533171029,0.2346317711503348,0.0462568472306756,0.0018259281801582474,0.004260499087035911
3113,Inwood,walk,60,0.0,207.0,0.017853392144507457,0.00630119722747322,0.01638311279143037,0.1499684940138626,0.039907582440663725,0.13043478260869565,0.3511867254778408,0.24196597353497162,0.039907582440663725,0.0016803192606595252,0.004410838059231254
3114,Inwood,transit,10,2.9,2.3244560479750933,0.018675721561969442,0.010186757215619695,0.010186757215619695,0.15789473684210528,0.02037351443123939,0.10696095076400679,0.44821731748726656,0.17826825127334467,0.04074702886247878,0.0033955857385398985,0.0050933786078098476
3115,Inwood,transit,20,2.9,18.110235660709176,0.02876443669644802,0.007844846371758552,0.015689692743517104,0.1418609718893005,0.023534539115275654,0.11048158640226628,0.38570494661146215,0.23142296796687728,0.04358247984310307,0.001307474395293092,0.00980605796469819
3116,Inwood,transit,30,2.9,74.26025374320432,0.054100015943030225,0.012010416113089225,0.016261890843386296,0.11032576925120899,0.030079183716851778,0.0996439389913376,0.3978317478875484,0.22288356273582396,0.03177977360897061,0.0012754424190891212,0.0238082584896636
3117,Inwood,transit,40,2.9,153.25624137022882,0.05693464489880002,0.014935365916464953,0.020085492094556318,0.1056033372817634,0.034917855487459445,0.10089097182880982,0.3968172220219396,0.22001339032806305,0.03074625328320544,0.0011330277591801,0.017922439099757947
3118,Inwood,transit,50,2.9,233.38091223956377,0.05368889189509107,0.015151258941102868,0.016842247662208095,0.1138880903664373,0.032940460287129894,0.09790824695199285,0.40201565855555754,0.21991308317973524,0.032974280061551994,0.0008962240221857723,0.013781558077007629
3119,Inwood,transit,60,2.9,331.422442969352,0.04651107406525363,0.013241247916170517,0.014717789949988092,0.12274351035960943,0.031126458680638243,0.0980590616813527,0.39978566325315545,0.2251964753512741,0.03719933317456538,0.0008335317932841151,0.010585853774708264
