,Community,Mode,Time Range,Cost,MI,Cafe,Fitness,Market,Parks,Pharmacy,Restaurant,Schools,Worship,Hospitals,Stadium,Theater
966,Lake View,bicycle,10,0.5452054794520548,40.4837241361983,0.07094266277939747,0.056365403304178816,0.04956268221574344,0.054421768707483,0.04664723032069971,0.48396501457725943,0.11661807580174927,0.09912536443148688,0.008746355685131194,0.001943634596695821,0.011661807580174927
967,Lake View,bicycle,20,0.5452054794520548,107.79922656286037,0.0635036496350365,0.03868613138686132,0.05912408759124088,0.08467153284671533,0.041605839416058395,0.46058394160583943,0.12372262773722628,0.10802919708029197,0.007664233576642336,0.0018248175182481753,0.010583941605839416
968,Lake View,bicycle,30,0.5452054794520548,235.50590153477452,0.07150016705646509,0.027063147343802208,0.05011693952555964,0.07283661877714667,0.037086535248914136,0.5078516538590043,0.11326428332776478,0.10457734714333444,0.0070163715335783495,0.0011693952555963916,0.007517540928833946
969,Lake View,bicycle,40,0.5452054794520548,318.9912879458656,0.07128761716822891,0.024173655648741986,0.05069067587567835,0.08781450419338925,0.03811050814010854,0.4501726689689196,0.13431179082387767,0.1267883571780957,0.006660088801184016,0.00123334977799704,0.008756783423778985
970,Lake View,bicycle,50,0.7952054794520548,360.8843174400669,0.06529209621993128,0.022701239196084556,0.05248359887535145,0.09621993127147767,0.037175882536707276,0.406331354784963,0.1562011871290222,0.14641257940227012,0.007810059356451109,0.001145475372279496,0.008226595855461835
971,Lake View,bicycle,60,1.2952054794520547,375.6344892317666,0.059972615244180745,0.020812414422638068,0.04956640803286172,0.10077590141487906,0.03614787768142401,0.3700593336376084,0.17088087631218624,0.175445002282063,0.007941579187585578,0.0010953902327704246,0.007302601551802831
972,Lake View,walk,10,0.0,5.391304347826087,0.10483870967741934,0.03225806451612903,,0.03225806451612903,0.04838709677419355,0.6129032258064516,0.024193548387096774,0.11290322580645162,,,0.03225806451612903
973,Lake View,walk,20,0.0,19.1304347826087,0.07045454545454544,0.054545454545454536,0.03409090909090909,0.040909090909090895,0.06136363636363635,0.5181818181818181,0.07499999999999998,0.11818181818181815,0.006818181818181817,0.002272727272727272,0.018181818181818177
974,Lake View,walk,30,0.0,34.56521739130435,0.06666666666666667,0.06037735849056603,0.04150943396226414,0.05534591194968553,0.05283018867924527,0.48805031446540875,0.10566037735849054,0.1081761006289308,0.007547169811320754,0.0012578616352201257,0.012578616352201257
975,Lake View,walk,40,0.0,50.04347826086957,0.0729800173761946,0.05386620330147697,0.044309296264118156,0.0625543006081668,0.041702867072111204,0.4674196350999131,0.12250217202432666,0.11294526498696784,0.00781928757602085,0.0017376194613379667,0.012163336229365768
